token	corpus size	all contexts size	frequency	co-frequency	specificity
Electronic	34555	15576	2	2	0.69
sufficient	34555	15576	2	2	0.69
discrete	34555	15576	2	2	0.69
compiled	34555	15576	2	2	0.69
Finally	34555	15576	2	2	0.69
practical	34555	15576	2	2	0.69
assessment	34555	15576	2	2	0.69
noted	34555	15576	2	2	0.69
considerably	34555	15576	2	2	0.69
bigger	34555	15576	2	2	0.69
CVC	34555	15576	2	2	0.69
decades	34555	15576	2	2	0.69
intensional	34555	15576	2	2	0.69
convincing	34555	15576	2	2	0.69
Discover	34555	15576	2	2	0.69
Word	34555	15576	2	2	0.69
logikós	34555	15576	2	2	0.69
Sentences	34555	15576	2	2	0.69
good	34555	15576	2	2	0.69
willing	34555	15576	2	2	0.69
proposal	34555	15576	2	2	0.69
sum-of-products	34555	15576	2	2	0.69
reconfigurable	34555	15576	2	2	0.69
performance	34555	15576	2	2	0.69
generic	34555	15576	2	2	0.69
JK	34555	15576	2	2	0.69
flip-flops	34555	15576	2	2	0.69
coined	34555	15576	2	2	0.69
mask-programmable	34555	15576	2	2	0.69
thousands	34555	15576	2	2	0.69
specialized	34555	15576	2	2	0.69
programmers	34555	15576	2	2	0.69
Fourteen	34555	15576	2	2	0.69
Flip-flop	34555	15576	2	2	0.69
Memory	34555	15576	2	2	0.69
cell	34555	15576	2	2	0.69
Combinational	34555	15576	2	2	0.69
Integrated	34555	15576	2	2	0.69
Mixed-signal	34555	15576	2	2	0.69
Three-dimensional	34555	15576	2	2	0.69
Emitter-coupled	34555	15576	2	2	0.69
ECL	34555	15576	2	2	0.69
Erasable	34555	15576	2	2	0.69
FPOA	34555	15576	2	2	0.69
route	34555	15576	2	2	0.69
Placement	34555	15576	2	2	0.69
High-level	34555	15576	2	2	0.69
checking	34555	15576	2	2	0.69
Finite-state	34555	15576	2	2	0.69
Hierarchical	34555	15576	2	2	0.69
Object-oriented	34555	15576	2	2	0.69
Citations	34555	15576	2	2	0.69
capabilities	34555	15576	2	2	0.69
reading	34555	15576	2	2	0.69
clausal	34555	15576	2	2	0.69
Marseille	34555	15576	2	2	0.69
SLD	34555	15576	2	2	0.69
unique	34555	15576	2	2	0.69
generalises	34555	15576	2	2	0.69
Among	34555	15576	2	2	0.69
exceptions	34555	15576	2	2	0.69
unlike	34555	15576	2	2	0.69
Nationality	34555	15576	2	2	0.69
Act	34555	15576	2	2	0.69
computational	34555	15576	2	2	0.69
enables	34555	15576	2	2	0.69
λProlog	34555	15576	2	2	0.69
CLP	34555	15576	2	2	0.69
recursive	34555	15576	2	2	0.69
naturally	34555	15576	2	2	0.69
grounding	34555	15576	2	2	0.69
goal-directed	34555	15576	2	2	0.69
happens(move(Block	34555	15576	2	2	0.69
Time	34555	15576	2	2	0.69
induces	34555	15576	2	2	0.69
guarded	34555	15576	2	2	0.69
nondeterminism	34555	15576	2	2	0.69
derived	34555	15576	2	2	0.69
HiLog	34555	15576	2	2	0.69
Denecker	34555	15576	2	2	0.69
via	34555	15576	2	2	0.69
Cardinality	34555	15576	2	2	0.69
Traditional	34555	15576	2	2	0.69
Many-valued	34555	15576	2	2	0.69
Strength	34555	15576	2	2	0.69
Theories	34555	15576	2	2	0.69
Concrete/Abstract	34555	15576	2	2	0.69
timeline	34555	15576	2	2	0.69
Logicism	34555	15576	2	2	0.69
Glue	34555	15576	2	2	0.69
Inquisitive	34555	15576	2	2	0.69
Mereology	34555	15576	2	2	0.69
Inferentialism	34555	15576	2	2	0.69
Linguistics	34555	15576	2	2	0.69
wars	34555	15576	2	2	0.69
Pragmatics	34555	15576	2	2	0.69
Authority	34555	15576	2	2	0.69
Edit	34555	15576	2	2	0.69
Wikidata	34555	15576	2	2	0.69
Disjunction	34555	15576	2	2	0.69
warm	34555	15576	2	2	0.69
phrase	34555	15576	2	2	0.69
subsequent	34555	15576	2	2	0.69
rely	34555	15576	2	2	0.69
mechanisms	34555	15576	2	2	0.69
doing	34555	15576	2	2	0.69
somewhere	34555	15576	2	2	0.69
overlap	34555	15576	2	2	0.69
two-level	34555	15576	2	2	0.69
subtractor	34555	15576	2	2	0.69
corresponds	34555	15576	2	2	0.69
unwielded	34555	15576	2	2	0.69
becomes	34555	15576	2	2	0.69
expressible	34555	15576	2	2	0.69
went	34555	15576	2	2	0.69
community	34555	15576	2	2	0.69
computations	34555	15576	2	2	0.69
fit	34555	15576	2	2	0.69
Sandevall	34555	15576	2	2	0.69
Davidson	34555	15576	2	2	0.69
familiar	34555	15576	2	2	0.69
i.e	34555	15576	14	6	0.68
should	34555	15576	14	6	0.68
Deductive	34555	15576	12	6	0.67
together	34555	15576	12	6	0.67
AND	34555	15576	12	6	0.67
object	34555	15576	12	6	0.67
human	34555	15576	12	6	0.67
design	34555	15576	12	6	0.67
could	34555	15576	12	6	0.67
interpretation	34555	15576	12	6	0.67
every	34555	15576	12	6	0.67
subset	34555	15576	12	6	0.67
dialects	34555	15576	12	6	0.67
correctness	34555	15576	9	5	0.67
meaning	34555	15576	9	5	0.67
33	34555	15576	9	5	0.67
43	34555	15576	9	5	0.67
determine	34555	15576	9	5	0.67
cannot	34555	15576	9	5	0.67
One	34555	15576	9	5	0.67
epistemology	34555	15576	9	5	0.67
sometimes	34555	15576	9	5	0.67
law	34555	15576	9	5	0.67
foundations	34555	15576	9	5	0.67
Array	34555	15576	9	5	0.67
38	34555	15576	9	5	0.67
false	34555	15576	13	6	0.66
OR	34555	15576	13	6	0.66
Nature	34555	15576	12	5	0.65
2000	34555	15576	12	5	0.65
Proof	34555	15576	12	5	0.65
2007	34555	15576	10	5	0.63
When	34555	15576	10	5	0.63
information	34555	15576	10	5	0.63
36	34555	15576	10	5	0.63
93	34555	15576	10	5	0.63
ways	34555	15576	10	5	0.63
must	34555	15576	10	5	0.63
implementation	34555	15576	10	5	0.63
proposition	34555	15576	11	5	0.63
usually	34555	15576	11	5	0.63
were	34555	15576	11	5	0.63
rather	34555	15576	11	5	0.63
paradigm	34555	15576	10	4	0.62
o	34555	15576	10	4	0.62
23	34555	15576	10	4	0.62
simple	34555	15576	10	4	0.62
write	34555	15576	10	4	0.62
understanding	34555	15576	7	4	0.62
RIF-BLD	34555	15576	7	4	0.62
software	34555	15576	7	4	0.62
Basic	34555	15576	7	4	0.62
intuitions	34555	15576	7	4	0.62
understood	34555	15576	7	4	0.62
contain	34555	15576	7	4	0.62
represents	34555	15576	7	4	0.62
ontological	34555	15576	7	4	0.62
North	34555	15576	7	4	0.62
44	34555	15576	7	4	0.62
including	34555	15576	7	4	0.62
much	34555	15576	7	4	0.62
You	34555	15576	7	4	0.62
100	34555	15576	7	4	0.62
search	34555	15576	7	4	0.62
equivalent	34555	15576	7	4	0.62
existing	34555	15576	7	4	0.62
Functional	34555	15576	7	4	0.62
ontologies	34555	15576	7	4	0.62
Deviant	34555	15576	9	4	0.58
major	34555	15576	9	4	0.58
operations	34555	15576	9	4	0.58
theories	34555	15576	9	4	0.58
who	34555	15576	9	4	0.58
2011	34555	15576	9	4	0.58
51	34555	15576	9	4	0.58
available	34555	15576	9	4	0.58
